,,,,,,,,,Inspection information,,,,,,
Children's home,03/11/2010,Active,South East,South East,Kent,Faversham and Mid Kent,Private,Castle Homes Limited,Monitoring inspection,24/01/2019,28/02/2019,10092749,,,
Children's home,03/11/2010,Active,South East,South East,Kent,Faversham and Mid Kent,Private,Castle Homes Limited,Interim inspection,29/11/2018,23/01/2019,10055273,Declined effectiveness,,
Children's home,03/11/2010,Active,South East,South East,Kent,Faversham and Mid Kent,Private,Castle Homes Limited,Monitoring inspection,08/03/2019,28/03/2019,10096230,,,
Children's home,18/11/2010,Active,London,London,Bromley,Bromley and Chislehurst,Private,Castle Homes Limited,Full inspection,20/11/2018,11/12/2018,10050284,Good,Good,Good
Children's home,18/10/2010,Active,East Midlands,East Midlands,Lincolnshire,South Holland and The Deepings,Private,Direct Care Ltd,Full inspection,23/10/2018,21/11/2018,10050272,Good,Outstanding,Outstanding
Children's home,12/11/2010,Active,North West,North West,Cheshire West and Chester,City of Chester,Private,Good Foundations Limited,Full inspection,05/12/2018,07/01/2019,10050278,Outstanding,Outstanding,Outstanding
Children's home,16/11/2010,Active,London,London,Tower Hamlets,Poplar and Limehouse,Private,The Qalb Short Break Services Ltd,Full inspection,12/12/2018,11/01/2019,10050282,Outstanding,Outstanding,Outstanding
Children's home,22/12/2010,Active,North West,North West,Bury,Bury North,Private,Alliance Care & Education Limited,Full inspection,21/05/2018,08/06/2018,10050291,Good,Good,Good
Children's home,22/06/2011,Active,South West,South West,Wiltshire,Salisbury,Private,Arc Hd Services Ltd,Full inspection,12/06/2018,26/07/2018,10050340,Inadequate,Inadequate,Inadequate
Children's home,22/06/2011,Active,South West,South West,Wiltshire,Salisbury,Private,Arc Hd Services Ltd,Full inspection,07/08/2018,23/08/2018,10056263,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Independent Fostering Agency,11/01/2011,Active,South East,South East,Kent,Canterbury,Voluntary,Caldecott Foundation Limited,Full inspection,21/01/2019,11/02/2019,10046674,Outstanding,Good,Outstanding
Children's home,20/12/2010,Active,West Midlands,West Midlands,Staffordshire,Staffordshire Moorlands,Private,Prestige Adolescent Care And Education Limited,Full inspection,11/02/2019,06/03/2019,10050288,Outstanding,Outstanding,Outstanding
Children's home,03/02/2011,Active,South East,South East,Buckinghamshire,Buckingham,Private,Keys Childcare Ltd,Full inspection,30/07/2018,23/08/2018,10050299,Good,Good,Good
Children's home,06/01/2011,Active,North West,North West,Lancashire,Morecambe and Lunesdale,Private,ABC Care and Education Ltd,Full inspection,06/08/2018,11/09/2018,10050292,Good,Good,Good
Children's home,15/11/2010,Active,East of England,East of England,Central Bedfordshire,North East Bedfordshire,Private,Oracle Care Limited,Full inspection,04/07/2018,24/07/2018,10050281,Good,Good,Good
Children's home,24/01/2011,Active,East of England,East of England,Hertfordshire,Welwyn Hatfield,Local Authority,Hertfordshire County Council,Full inspection,20/08/2018,12/09/2018,10050294,Outstanding,Outstanding,Outstanding
Children's home,21/02/2011,Active,East of England,East of England,Bedford,Mid Bedfordshire,Voluntary,St Christopher's Fellowship,Full inspection,16/04/2018,03/05/2018,10050306,Good,Good,Good
Children's home,21/02/2011,Active,East of England,East of England,Bedford,Mid Bedfordshire,Voluntary,St Christopher's Fellowship,Interim inspection,03/01/2019,18/01/2019,10051600,Sustained effectiveness,,
Children's home,01/03/2011,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Barnsley,Barnsley East,Local Authority,Barnsley Metropolitan Borough Council,Full inspection,05/04/2018,04/05/2018,10050307,Good,Good,Good
Children's home,21/12/2010,Active,North West,North West,St Helens,St Helens North,Private,Inspire Childrens Services Limited,Full inspection,09/10/2018,26/10/2018,10050289,Good,Good,Good
Independent Fostering Agency,22/03/2011,Active,South East,South East,Hampshire,Winchester,Private,Fostering Solutions,Full inspection,18/02/2019,08/04/2019,10070688,Outstanding,Outstanding,Outstanding
Children's home,28/01/2011,Active,;North East, Yorkshire and the Humber;,North East,Durham,Bishop Auckland,Private,Keys Childcare Ltd,Full inspection,17/10/2018,12/11/2018,10050295,Good,Good,Good
Children's home,06/04/2011,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Kirklees,Dewsbury,Voluntary,Care Management Solutions Limited,Full inspection,22/05/2018,13/06/2018,10050316,Good,Good,Good
Children's home,25/03/2011,Active,East of England,East of England,Essex,Colchester,Private,Kedleston (Wood Grove Childcare) Ltd,Full inspection,19/09/2018,04/10/2018,10050311,Good,Good,Requires improvement to be good
Children's home,18/02/2011,Active,North West,North West,Sefton,Sefton Central,Private,Teen-Works Care Ltd,Full inspection,04/09/2018,05/10/2018,10050303,Outstanding,Outstanding,Outstanding
Children's home,23/06/2011,Active,London,London,Kingston upon Thames,Kingston and Surbiton,Private,Reamcare Limited,Full inspection,10/09/2018,05/10/2018,10050341,Good,Requires improvement to be good,Requires improvement to be good
Children's home,08/04/2011,Active,West Midlands,West Midlands,Birmingham,Sutton Coldfield,Private,Adecyn Childrens Homes Ltd,Interim inspection,09/10/2018,01/11/2018,10051601,Declined effectiveness,,
Children's home,08/04/2011,Active,West Midlands,West Midlands,Birmingham,Sutton Coldfield,Private,Adecyn Childrens Homes Ltd,Full inspection,09/04/2018,16/05/2018,10050318,Good,Good,Good
Children's home,28/01/2011,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Leeds,Leeds West,Private,Cambian Childcare Limited,Full inspection,23/04/2018,17/05/2018,10050296,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Residential special school (registered as a children's home),03/11/2011,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Sheffield,Sheffield Central,Voluntary,Ruskin Mill Trust Limited,Full inspection,16/01/2019,28/02/2019,10050385,Outstanding,Good,Outstanding
Children's home,01/03/2011,Active,London,London,Barking and Dagenham,Dagenham and Rainham,Private,Heartwood Residential Services Ltd,Full inspection,13/08/2018,18/09/2018,10050308,Good,Good,Good
Children's home,14/03/2011,Active,South East,South East,Buckinghamshire,Wycombe,Voluntary,Action For Children,Full inspection,20/08/2018,25/09/2018,10050310,Good,Good,Good
Children's home,08/04/2011,Active,South East,South East,Buckinghamshire,Aylesbury,Voluntary,Action For Children,Full inspection,14/11/2018,03/12/2018,10050319,Good,Good,Good
Children's home,10/03/2011,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Bradford,Bradford East,Private,Cambian Childcare Limited,Full inspection,04/09/2018,09/10/2018,10050309,Good,Good,Good
Children's home,02/02/2011,Active,East of England,East of England,Norfolk,South Norfolk,Voluntary,Break,Full inspection,18/12/2018,11/01/2019,10050298,Outstanding,Good,Outstanding
Children's home,16/02/2011,Active,East Midlands,East Midlands,Nottingham,Nottingham East,Local Authority,Nottingham City Council,Full inspection,12/06/2018,27/06/2018,10050300,Good,Good,Outstanding
Children's home,16/02/2011,Active,East Midlands,East Midlands,Nottingham,Nottingham South,Local Authority,Nottingham City Council,Full inspection,26/06/2018,16/07/2018,10050301,Good,Good,Outstanding
Children's home,16/02/2011,Active,East Midlands,East Midlands,Nottingham,Nottingham South,Local Authority,Nottingham City Council,Full inspection,16/05/2018,05/06/2018,10050302,Good,Good,Outstanding
Children's home,01/04/2011,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Kirklees,Huddersfield,Private,Harmony Childrens Services,Full inspection,25/09/2018,15/10/2018,10050313,Good,Good,Good
Children's home,04/04/2011,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Ladywood;,Private,Cambian Childcare Limited,Full inspection,08/08/2018,22/08/2018,10050315,Good,Good,Good
Children's home,26/04/2011,Active,East of England,East of England,Norfolk,North Norfolk,Private,Clover Childcare Services Ltd,Full inspection,18/12/2018,11/01/2019,10050320,Outstanding,Outstanding,Outstanding
Children's home,12/03/2012,Active,South East,South East,Kent,Folkestone and Hythe,Private,Ferndearle Child Care Services Limited,Full inspection,27/02/2019,28/03/2019,10050416,Good,Good,Good
Children's home,18/02/2011,Active,East of England,East of England,Hertfordshire,Stevenage,Private,Esland South Limited,Full inspection,03/05/2018,29/05/2018,10050304,Good,Good,Good
Residential Special School,03/02/2011,Active,East of England,East of England,Cambridgeshire,South Cambridgeshire,Private,Cavendish Education and Training Limited,Full inspection,05/02/2019,05/03/2019,10045699,Good,Requires improvement to be good,Good
Children's home,30/03/2011,Active,South East,South East,Kent,Canterbury,Voluntary,Strode Park Foundation for People with Disabilities,Full inspection,18/10/2018,15/11/2018,10050312,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,28/04/2011,Active,West Midlands,West Midlands,Staffordshire,Cannock Chase,Private,Roundhouse Care Ltd,Full inspection,20/11/2018,08/01/2019,10050323,Good,Good,Good
Children's home,03/06/2011,Active,North West,North West,Sefton,Southport,Voluntary,Autism Initiatives (UK),Full inspection,20/06/2018,13/07/2018,10050331,Good,Good,Good
Children's home,03/06/2011,Active,North West,North West,Sefton,Southport,Voluntary,Autism Initiatives (UK),Interim inspection,05/03/2019,10/04/2019,10051602,Improved effectiveness,,
Children's home,06/04/2011,Active,East of England,East of England,Hertfordshire,Hertford and Stortford,Voluntary,Action For Children,Interim inspection,16/01/2019,01/02/2019,10054158,Sustained effectiveness,,
Children's home,06/04/2011,Active,East of England,East of England,Hertfordshire,Hertford and Stortford,Voluntary,Action For Children,Full inspection,18/10/2018,07/11/2018,10050317,Good,Good,Good
Children's home,02/04/2011,Active,West Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent South,Private,Unity Residential Care Services,Full inspection,22/01/2019,14/02/2019,10050314,Outstanding,Outstanding,Outstanding
Children's home,05/09/2011,Active,South East,South East,Surrey,East Surrey,Private,My Choice Children's Homes Ltd,Full inspection,24/10/2018,15/11/2018,10050370,Good,Good,Good
Children's home,05/09/2011,Active,South East,South East,Surrey,East Surrey,Private,My Choice Children's Homes Ltd,Monitoring inspection,24/05/2018,14/06/2018,10054496,,,
Children's home,13/06/2011,Active,West Midlands,West Midlands,Telford and Wrekin,The Wrekin,Private,CareTech Community Services Limited,Full inspection,19/02/2019,15/03/2019,10050334,Outstanding,Outstanding,Outstanding
Children's home,10/05/2011,Active,East Midlands,East Midlands,Derbyshire,High Peak,Private,Enabling Futures Ltd,Full inspection,13/12/2018,07/01/2019,10050325,Good,Good,Good
Children's home,19/05/2011,Active,East Midlands,East Midlands,Nottingham,Nottingham East,Local Authority,Nottingham City Council,Full inspection,27/02/2019,20/03/2019,10050326,Outstanding,Good,Outstanding
Children's home,20/06/2011,Active,South East,South East,Kent,Sittingbourne and Sheppey,Private,Ronanda Limited,Full inspection,07/03/2019,03/04/2019,10050338,Inadequate,Inadequate,Inadequate
Children's home,05/05/2011,Active,East of England,East of England,Suffolk,West Suffolk,Private,Barnardiston Hall Preparatory School Limited,Full inspection,31/10/2018,19/11/2018,10050324,Good,Good,Requires improvement to be good
Children's home,27/04/2011,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Wakefield,Hemsworth,Local Authority,Wakefield Metropolitan District Council,Full inspection,03/10/2018,08/11/2018,10050321,Good,Good,Good
Children's home,23/06/2011,Active,North West,North West,Salford,Blackley and Broughton,Private,Courtyard Care Limited,Full inspection,02/10/2018,18/10/2018,10050342,Outstanding,Outstanding,Good
Children's home,30/06/2011,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Sheffield,Penistone and Stocksbridge,Private,Pathway Care Solutions Ltd,Full inspection,10/07/2018,14/08/2018,10050343,Good,Good,Outstanding
Children's home,05/06/2011,Active,West Midlands,West Midlands,Staffordshire,Stone,Private,Educare Adolescent Services Limited,Full inspection,20/06/2018,12/07/2018,10050332,Requires improvement to be good,Requires improvement to be good,Inadequate
Children's home,17/06/2011,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Leeds,Leeds North West,Private,Cambian Childcare Limited,Full inspection,28/08/2018,25/09/2018,10050337,Good,Good,Good
Children's home,26/08/2011,Active,South West,South West,Cornwall,Camborne and Redruth,Health Authority,Cornwall Partnership NHS Foundation Trust,Full inspection,25/02/2019,20/03/2019,10050369,Good,Good,Good
Children's home,02/06/2011,Active,South East,South East,Buckinghamshire,Buckingham,Private,Keys Childcare Ltd,Full inspection,24/04/2018,23/05/2018,10050329,Good,Good,Good
Children's home,22/07/2011,Active,North West,North West,Manchester,Wythenshawe and Sale East,Private,R Place Limited,Full inspection,11/04/2018,11/05/2018,10050349,Requires improvement to be good,Requires improvement to be good,Inadequate
Children's home,22/07/2011,Active,North West,North West,Manchester,Wythenshawe and Sale East,Private,R Place Limited,Monitoring inspection,07/08/2018,30/08/2018,10055734,,,
Children's home,14/06/2011,Active,East of England,East of England,Bedford,Bedford,Private,Pathways Care Group Limited,Full inspection,10/10/2018,31/10/2018,10050335,Good,Good,Requires improvement to be good
Children's home,01/04/2012,Active,South West,South West,Cornwall,South East Cornwall,Health Authority,Cornwall Partnership NHS Foundation Trust,Full inspection,03/07/2018,09/08/2018,10050424,Good,Good,Requires improvement to be good
Children's home,01/04/2012,Active,South West,South West,Cornwall,South East Cornwall,Health Authority,Cornwall Partnership NHS Foundation Trust,Interim inspection,25/02/2019,15/03/2019,10051616,Sustained effectiveness,,
Residential Family Centre,22/09/2011,Active,South East,South East,Kent,North Thanet,Private,Majestic Family Services Limited,Full inspection,30/01/2019,28/02/2019,10045742,Outstanding,Good,Good
Children's home,27/04/2011,Active,East of England,East of England,Suffolk,South Suffolk,Private,The Ryes College Limited,Full inspection,16/05/2018,30/05/2018,10050322,Good,Good,Good
Children's home,22/07/2011,Active,East of England,East of England,Suffolk,South Suffolk,Private,The Ryes College Limited,Full inspection,29/08/2018,13/09/2018,10050350,Good,Good,Good
Children's home,09/11/2011,Active,East of England,East of England,Suffolk,South Suffolk,Private,The Ryes College Limited,Full inspection,30/05/2018,14/06/2018,10050386,Good,Good,Good
Children's home,09/11/2011,Active,East of England,East of England,Suffolk,South Suffolk,Private,The Ryes College Limited,Interim inspection,20/09/2018,11/10/2018,10051612,Sustained effectiveness,,
Children's home,13/05/2013,Active,;North East, Yorkshire and the Humber;,North East,Hartlepool,Hartlepool,Private,Atlas Healthcare Ltd,Full inspection,19/04/2018,15/05/2018,10050591,Good,Good,Good
Children's home,15/08/2011,Active,;North East, Yorkshire and the Humber;,North East,Stockton-on-Tees,Stockton North,Private,Atlas Healthcare Ltd,Full inspection,14/08/2018,07/09/2018,10055833,Good,Good,Good
Children's home,15/08/2011,Active,;North East, Yorkshire and the Humber;,North East,Stockton-on-Tees,Stockton North,Private,Atlas Healthcare Ltd,Full inspection,06/06/2018,13/07/2018,10050365,Inadequate,Inadequate,Inadequate
Children's home,15/08/2011,Active,;North East, Yorkshire and the Humber;,North East,Stockton-on-Tees,Stockton North,Private,Atlas Healthcare Ltd,Monitoring inspection,04/03/2019,02/04/2019,10098872,,,
Children's home,22/07/2011,Active,West Midlands,West Midlands,Warwickshire,North Warwickshire,Private,Archways Care Ltd,Full inspection,07/08/2018,31/08/2018,10050351,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,22/07/2011,Active,;North East, Yorkshire and the Humber;,North East,Durham,North West Durham,Private,A Significant Other Limited,Interim inspection,18/12/2018,14/01/2019,10051604,Improved effectiveness,,
Children's home,22/07/2011,Active,;North East, Yorkshire and the Humber;,North East,Durham,North West Durham,Private,A Significant Other Limited,Full inspection,18/04/2018,15/05/2018,10050352,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,21/06/2011,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Yorkshire,Richmond (Yorks),Private,Roseberry Specialist Care Centres Ltd,Full inspection,08/01/2019,04/02/2019,10050339,Good,Good,Good
Children's home,21/06/2011,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Yorkshire,Richmond (Yorks),Private,Roseberry Specialist Care Centres Ltd,Monitoring inspection,08/05/2018,20/08/2018,10054172,,,
Children's home,21/06/2011,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Yorkshire,Richmond (Yorks),Private,Roseberry Specialist Care Centres Ltd,Monitoring inspection,12/03/2019,26/04/2019,10099780,,,
Children's home,02/06/2011,Active,East of England,East of England,Suffolk,Bury St Edmunds,Local Authority,Suffolk County Council,Full inspection,05/04/2018,23/04/2018,10050330,Good,Good,Good
Children's home,15/06/2011,Active,North West,North West,Tameside,Denton and Reddish,Private,Cambian Childcare Limited,Full inspection,05/06/2018,26/06/2018,10050336,Good,Good,Good
Children's home,09/08/2011,Active,London,London,Barking and Dagenham,Barking,Private,The Vine Residential Services (TVRS) Ltd,Full inspection,15/11/2018,17/12/2018,10050361,Good,Good,Good
Children's home,07/07/2011,Active,East Midlands,East Midlands,Northamptonshire,Daventry,Private,Direct Care Ltd,Full inspection,19/06/2018,05/07/2018,10050345,Outstanding,Outstanding,Outstanding
Independent Fostering Agency,25/08/2011,Active,East of England,East of England,Norfolk,Norwich North,Voluntary,Break,Full inspection,14/05/2018,08/06/2018,10045680,Good,Good,Requires improvement to be good
Children's home,26/07/2011,Active,North West,North West,Sefton,Bootle,Private,Independent Living Services (North West) Limited,Full inspection,06/11/2018,11/12/2018,10050353,Good,Good,Good
Children's home,01/09/2011,Active,East of England,East of England,Norfolk,South West Norfolk,Private,Unique Care Homes Support Limited,Full inspection,30/10/2018,16/11/2018,10046893,Good,Good,Good
Children's home,31/05/2011,Active,West Midlands,West Midlands,Staffordshire,Cannock Chase,Private,Future In Mind,Full inspection,04/12/2018,07/01/2019,10050327,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,10/06/2011,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Bradford,Bradford South,Local Authority,Bradford Childrens Specialist Service,Full inspection,19/06/2018,17/07/2018,10050333,Good,Good,Good
Children's home,02/08/2011,Active,East Midlands,East Midlands,Nottingham,Nottingham East,Private,Capstone Care Provider Limited,Interim inspection,12/03/2019,01/04/2019,10051606,Improved effectiveness,,
Children's home,02/08/2011,Active,East Midlands,East Midlands,Nottingham,Nottingham East,Private,Capstone Care Provider Limited,Full inspection,18/06/2018,10/07/2018,10050360,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,28/07/2011,Active,South East,South East,Bracknell Forest,Bracknell,Private,SWAAY Child and Adolescent Services Limited,Full inspection,06/11/2018,07/12/2018,10050355,Outstanding,Outstanding,Outstanding
Children's home,28/07/2011,Active,South East,South East,Bracknell Forest,Bracknell,Private,SWAAY Child and Adolescent Services Limited,Full inspection,16/10/2018,15/11/2018,10050356,Good,Good,Good
Children's home,28/07/2011,Active,South East,South East,Bracknell Forest,Bracknell,Private,SWAAY Child and Adolescent Services Limited,Full inspection,12/02/2019,12/03/2019,10050357,Good,Good,Good
Children's home,28/07/2011,Active,South East,South East,Bracknell Forest,Bracknell,Private,SWAAY Child and Adolescent Services Limited,Full inspection,21/11/2018,03/01/2019,10050358,Outstanding,Outstanding,Outstanding
Children's home,28/07/2011,Active,South East,South East,Wokingham,Reading East,Private,SWAAY Child and Adolescent Services Limited,Full inspection,06/06/2018,09/07/2018,10050359,Requires improvement to be good,Good,Inadequate
Children's home,28/07/2011,Active,South East,South East,Wokingham,Reading East,Private,SWAAY Child and Adolescent Services Limited,Interim inspection,19/12/2018,14/01/2019,10051605,Improved effectiveness,,
Children's home,09/08/2011,Active,North West,North West,Knowsley,Knowsley,Private,Progressive Futures Care Limited,Full inspection,09/01/2019,28/02/2019,10050362,Good,Good,Requires improvement to be good
Adoption Support Agency,08/12/2011,Active,North West,North West,Cumbria,Westmorland and Lonsdale,Private,About Children Limited,Full inspection,10/07/2018,03/08/2018,10046719,Good,Good,Good
Children's home,25/08/2011,Active,East of England,East of England,Hertfordshire,South West Hertfordshire,Voluntary,Action For Children,Full inspection,27/11/2018,17/12/2018,10050368,Good,Good,Good
Children's home,08/09/2011,Active,South West,South West,Cornwall,Camborne and Redruth,Health Authority,Cornwall Partnership NHS Foundation Trust,Full inspection,21/08/2018,14/09/2018,10050372,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,30/09/2011,Active,North West,North West,Lancashire,Morecambe and Lunesdale,Private,Hopscotch Care Limited,Full inspection,08/01/2019,12/02/2019,10050377,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,17/02/2012,Active,;North East, Yorkshire and the Humber;,North East,Newcastle upon Tyne,Newcastle upon Tyne North,Voluntary,Talbot House School Newcastle Upon Tyne,Monitoring inspection,24/10/2018,12/11/2018,10078909,,,
Children's home,17/02/2012,Active,;North East, Yorkshire and the Humber;,North East,Newcastle upon Tyne,Newcastle upon Tyne North,Voluntary,Talbot House School Newcastle Upon Tyne,Monitoring inspection,18/12/2018,14/01/2019,10085871,,,
Children's home,17/02/2012,Active,;North East, Yorkshire and the Humber;,North East,Newcastle upon Tyne,Newcastle upon Tyne North,Voluntary,Talbot House School Newcastle Upon Tyne,Monitoring inspection,18/09/2018,12/10/2018,10068458,,,
Children's home,17/02/2012,Active,;North East, Yorkshire and the Humber;,North East,Newcastle upon Tyne,Newcastle upon Tyne North,Voluntary,Talbot House School Newcastle Upon Tyne,Interim inspection,14/08/2018,07/09/2018,10067849,Declined effectiveness,,
Children's home,17/02/2012,Active,;North East, Yorkshire and the Humber;,North East,Newcastle upon Tyne,Newcastle upon Tyne North,Voluntary,Talbot House School Newcastle Upon Tyne,Full inspection,01/05/2018,30/05/2018,10050408,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,27/07/2011,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Edgbaston;,Private,Nh Care Limited,Full inspection,11/12/2018,03/01/2019,10050354,Good,Good,Requires improvement to be good
Children's home,10/08/2011,Active,South West,South West,Devon,Torridge and West Devon,Private,Keys Group Progressive Care & Education Limited,Full inspection,26/02/2019,19/03/2019,10050363,Good,Requires improvement to be good,Requires improvement to be good
Children's home,03/07/2011,Active,North West,North West,Manchester,Wythenshawe and Sale East,Private,Cambian Childcare Limited,Interim inspection,06/02/2019,25/02/2019,10051603,Sustained effectiveness,,
Children's home,03/07/2011,Active,North West,North West,Manchester,Wythenshawe and Sale East,Private,Cambian Childcare Limited,Full inspection,17/04/2018,09/05/2018,10050344,Good,Good,Requires improvement to be good
Children's home,21/07/2011,Active,East Midlands,East Midlands,Derbyshire,High Peak,Private,Esland North Limited,Full inspection,01/05/2018,21/05/2018,10050348,Good,Good,Outstanding
Children's home,05/09/2011,Active,;North East, Yorkshire and the Humber;,North East,Sunderland,Sunderland Central,Voluntary,St Cuthbert's Care,Full inspection,14/11/2018,05/12/2018,10050371,Outstanding,Good,Outstanding
Children's home,11/08/2011,Resigned,West Midlands,West Midlands,Herefordshire,Hereford and South Herefordshire,Private,Greenfields Adolescent Development Limited,Full inspection,01/05/2018,31/05/2018,10050364,Requires improvement to be good,Requires improvement to be good,Inadequate
Children's home,22/08/2011,Active,West Midlands,West Midlands,Worcestershire,Mid Worcestershire,Private,Keys Specialist Residential Children's Services Ltd,Interim inspection,12/12/2018,09/01/2019,10051607,Sustained effectiveness,,
Children's home,22/08/2011,Active,West Midlands,West Midlands,Worcestershire,Mid Worcestershire,Private,Keys Specialist Residential Children's Services Ltd,Full inspection,04/07/2018,26/07/2018,10050366,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,23/12/2011,Active,South East,South East,Kent,Dover,Private,Channels and Choices Limited,Full inspection,22/01/2019,05/03/2019,10050393,Outstanding,Outstanding,Good
Children's home,14/09/2011,Active,West Midlands,West Midlands,Staffordshire,Stone,Private,Prestige Adolescent Care And Education Limited,Full inspection,04/03/2019,21/03/2019,10050373,Outstanding,Outstanding,Outstanding
Children's home,24/08/2011,Active,South East,South East,East Sussex,Lewes,Private,Crusoe Care Limited 06843979,Full inspection,14/06/2018,18/07/2018,10050367,Good,Good,Requires improvement to be good
Children's home,24/08/2011,Active,South East,South East,East Sussex,Lewes,Private,Crusoe Care Limited 06843979,Interim inspection,21/01/2019,13/02/2019,10051608,Sustained effectiveness,,
Children's home,15/09/2011,Active,East Midlands,East Midlands,Leicestershire,North West Leicestershire,Private,Cambian Childcare Limited,Full inspection,26/06/2018,19/07/2018,10050374,Good,Good,Good
Children's home,21/11/2012,Active,South East,South East,Kent,Sevenoaks,Voluntary,We Are Beams,Monitoring inspection,06/02/2019,21/03/2019,10092946,,,
Children's home,21/11/2012,Active,South East,South East,Kent,Sevenoaks,Voluntary,We Are Beams,Full inspection,19/12/2018,06/02/2019,10050480,Inadequate,Inadequate,Inadequate
Residential special school (registered as a children's home),15/09/2011,Active,East of England,East of England,Norfolk,South West Norfolk,Private,Acorn Norfolk Limited,Full inspection,14/08/2018,04/09/2018,10046892,Inadequate,Inadequate,Inadequate
Residential special school (registered as a children's home),15/09/2011,Active,East of England,East of England,Norfolk,South West Norfolk,Private,Acorn Norfolk Limited,Full inspection,21/11/2018,10/12/2018,10068665,Requires improvement to be good,Requires improvement to be good,Inadequate
Residential special school (registered as a children's home),15/09/2011,Active,East of England,East of England,Norfolk,South West Norfolk,Private,Acorn Norfolk Limited,Monitoring inspection,27/09/2018,12/10/2018,10068664,,,
Residential special school (registered as a children's home),15/09/2011,Active,East of England,East of England,Norfolk,South West Norfolk,Private,Acorn Norfolk Limited,Monitoring inspection,02/05/2018,18/05/2018,10052722,,,
Children's home,24/10/2011,Active,East Midlands,East Midlands,Leicestershire,Loughborough,Private,Cambian Childcare Limited,Full inspection,17/07/2018,02/08/2018,10054474,Good,Good,Good
Children's home,24/10/2011,Active,East Midlands,East Midlands,Leicestershire,Loughborough,Private,Cambian Childcare Limited,Monitoring inspection,22/05/2018,18/06/2018,10054475,,,
Children's home,24/10/2011,Active,East Midlands,East Midlands,Leicestershire,Loughborough,Private,Cambian Childcare Limited,Full inspection,10/04/2018,01/05/2018,10050381,Inadequate,Inadequate,Inadequate
Children's home,24/10/2011,Active,East Midlands,East Midlands,Leicestershire,Loughborough,Private,Cambian Childcare Limited,Monitoring inspection,11/12/2018,02/01/2019,10087059,,,
Children's home,16/09/2011,Active,East Midlands,East Midlands,Lincolnshire,Grantham and Stamford,Private,Knossington Grange School Ltd,Full inspection,03/07/2018,25/07/2018,10050375,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,06/10/2011,Active,East Midlands,East Midlands,Derbyshire,Amber Valley,Private,Blue Mountain Homes Ltd,Full inspection,18/07/2018,02/08/2018,10050378,Outstanding,Outstanding,Outstanding
Children's home,02/02/2012,Active,North West,North West,Stockport,Cheadle,Private,Choices Home For Children Limited,Full inspection,09/10/2018,31/10/2018,10050402,Good,Requires improvement to be good,Good
Children's home,20/02/2012,Active,East Midlands,East Midlands,Nottingham,Nottingham South,Private,Grace Care Limited,Full inspection,09/05/2018,04/06/2018,10050409,Good,Requires improvement to be good,Requires improvement to be good
Children's home,07/12/2011,Active,North West,North West,Cumbria,Barrow and Furness,Private,CASC (Barrow) Limited,Full inspection,22/01/2019,11/03/2019,10050389,Good,Good,Good
Children's home,09/11/2011,Active,East Midlands,East Midlands,Derbyshire,Erewash,Local Authority,Derbyshire County Council,Full inspection,25/04/2018,17/05/2018,10050387,Outstanding,Outstanding,Good
Children's home,17/10/2011,Active,West Midlands,West Midlands,Staffordshire,Stone,Private,Hillcrest Children's Services (2) Ltd,Full inspection,27/02/2019,10/04/2019,10050379,Outstanding,Outstanding,Outstanding
Children's home,28/09/2011,Active,South West,South West,Swindon,North Swindon,Private,John-Edwards Care Homes Ltd,Full inspection,04/07/2018,27/07/2018,10050376,Requires improvement to be good,Good,Inadequate
Children's home,12/12/2011,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Bradford,Shipley,Private,Cambian Childcare Limited,Full inspection,07/01/2019,29/01/2019,10050391,Outstanding,Outstanding,Outstanding
